,job_title,short_desc,skills,predicted_job_title
0,jr. sous chef,golden eagle golf club is a 36 hole golf facility situated amidst the beautiful thompson mountains in scenic pitt meadows british columbia 45 minutes from vancouver. our food and beverage offering caters to golfers as well as a number of weddings and banquets throughout the year.,"golden,eagle,golf,club,hole,golf,facility,situated,amidst,beautiful,thompson,mountain,scenic,pitt,meadow,british,columbia,minute,vancouver,our,food,beverage,offering,caters,golfer,well,number,wedding,banquet,throughout,year,position,the,jr,sou,chef,responsible,overseeing,assisting,operation,kitchen,banquet,facility,they,work,closely,executive,chef,execute,provide,high,quality,food,guest,experience,guest,(golfers,wedding,tournament,events),what,-hands,cooking,simultaneously,driving,speed,service,quality,control,-assist,executive,chef,recruit,train,schedule,culinary,team,-assist,daily,feature,idea,drive,business,-ensure,boh,area,highly,organized,meticulously,clean,-responsible,opening,closing,kitchen,-own,reliable,transportation,located,public,transportation,line,about,-you,minimum,year,experience,cook,supervisory,shift,leader,senior,line,cook,-have,worked,banquet,catering,thought,excites,-you,work,calmly,pressure,maintaining,sense,urgency,hit,timeline,-basic,food,safety,certification,-you,great,problem,solver,self-motivated,keep,high,paced,kitchen,organized,-love,working,food,cooking,high,quality,local,ingredient,-creativity,ability,cook,food,scratch,this,seasonal,full-time,position,opportunity,grow,u,future,we,offer,great,work,environment,flexible,work,life,balance,we,willing,train,right,candidate,area,please,submit,resume,along,short,note,detailing,meet,job,requirement,attention,robert,dew,thank,apply,selected,interview,contacted,expected,start,date,2021-03-29,job,type,full-time,salary,per,hour,additional,pay,overtime,pay,tip,benefit,discounted,free,food,flexible,schedule,on-site,parking,schedule,hour,shift,day,shift,holiday,night,shift,weekend,covid-19,consideration,all,guest,employee,required,wear,mask,social,distancing,possible,experience,culinary,year,(preferred),chef,year,(preferred),sou,chef,year,(preferred),job,duty,prepare,season,cook,food,directed,meeting,dietary,requirement,required,follow,recipe,presentation,specification,operate,standard,kitchen,equipment,safely,efficiently,clean,maintain,station,practicing,good,safety,sanitation,oversee,kitchen,operation,maintain,inventory,record,food,supply,equipment,adhere,sanitation,food,production,code,additional,duty,recording,food,temperature,work,remotely,no,covid-19,precaution(s),personal,protective,equipment,provided,required,plastic,shield,work,station,social,distancing,guideline,place,sanitizing,disinfecting,cleaning,procedure,place,day,ago,report,job",jr  sous chef
1,executive head chef,"executive head chef
job description
","executive,head,chef,job,description,position,executive,chef,location,smithers,british,columbia,responsibility,the,successful,applicant,proven,record,recognized,food,program,kitchen,management,this,highly,creative,professional,responsible,menu,creation,purchasing,cost,control,inventory,exceeding,guest,expectation,the,executive,chef,supervises,kitchen,employee,capable,delivering,four-star,cuisine,guest,day,staff,qualification,preference,given,applicant,previous,resort,fine,dining,experience,serving,it,right,related,certification,why,work,with,fse,we,committed,creating,spirit,employee,comradeship,providing,best,industry,offer,competitive,wage,quality,accommodation,healthy,meal,quality,uniform,top-of-the-line,equipment,fun,spectacular,working,environment,we,thank,interested,applicant,however,qualified,candidate,contacted,contract,length,month,expected,start,date,2021-08-15,related,keywords,chef,head,chef,executive,chef,sou,chef,job,type,full-time,temporary,salary,00-,per,month,additional,pay,tip,schedule,hour,shift,covid-19,consideration,following,protocol,experience,culinary,year,(preferred),chef,year,(preferred),sou,chef,year,(preferred),covid-19,precaution(s),remote,interview,process,personal,protective,equipment,provided,required,social,distancing,guideline,place,sanitizing,disinfecting,cleaning,procedure,place,today,report,job",executive head chef
2,sous chef,north shore catering is looking for chef and sous chef positions. work schedule is 2 weeks on 2 weeks off.,"north,shore,catering,looking,chef,sou,chef,position,work,schedule,week,week,camp,located,hour,edmonton,transportation,provided,responsibility,include,preparation,lunch,dinner,approximately,30-50,guest,ordering,menu,planning,scheduling,hotel,catering,banquet,service,experience,preferred,required,job,type,full-time,permanent,salary,00-,per,day,benefit,discounted,free,food,on-site,gym,on-site,parking,schedule,hour,shift,experience,culinary,year,(preferred),chef,year,(preferred),sou,chef,year,(preferred),work,remotely,no,covid-19,precaution(s),remote,interview,process,personal,protective,equipment,provided,required,temperature,screening,social,distancing,guideline,place,sanitizing,disinfecting,cleaning,procedure,place,day,ago,report,job",sous chef
3,looking to build a new team of line cooks,"urgently hiring
working chef and sous chef and line cooks,
","urgently,hiring,working,chef,sou,chef,line,cook,we,are,looking,for,a,kitchfn,manager,chef,ready,to,take,the,next,step,in,their,career,this,is,an,existing,restaurant,renovating,into,an,upscale,casual,grill,bar,concept,this,is,an,exciting,opportunity,for,someone,to,get,involved,in,the,ground,level,in,developing,a,new,menu,hiring,training,staff,you,would,have,total,autonomy,in,back,of,the,house,operation,we,offer,excellent,gratuity,if,experience,working,chef,sou,chef,line,cook,glowbal,cactus,joey,brown,busy,establishment,please,apply,looking,candidate,live,greater,vancouver,area,fraser,valley,area,other,applicant,accepted,time,looking,team,kitchen,staff,lot,knowledge,receipt,cook,line,and,develop,new,lunch,dinner,menu,new,concept,restaurant,abbotsford,job,type,full-time,part-time,permanent,salary,up,per,year,schedule,hour,shift,hour,shift,hour,shift,day,shift,night,shift,job,duty,prepare,season,cook,food,directed,meeting,dietary,requirement,required,follow,recipe,presentation,specification,operate,standard,kitchen,equipment,safely,efficiently,clean,maintain,station,practicing,good,safety,sanitation,oversee,kitchen,operation,maintain,inventory,record,food,supply,equipment,adhere,sanitation,food,production,code,additional,duty,menu,planning,food,shopping,recording,food,temperature,preparing,report,work,remotely,no,today,report,job",looking to build a new team of line cooks
4,chef de train,"pour faire carrière au chemin de fer, il est essentiel d’aimer le travail d’équipe et physique à l’extérieur et d’avoir un grand souci de la sécurité. votre horaire se greffe sur une exploitation 24 h sur 24 et 7 jours sur 7, et il n’y a pas deux journées pareilles.","pour,faire,carrière,au,chemin,de,fer,il,est,essentiel,d’aimer,le,travail,d’équipe,et,physique,à,l’extérieur,et,d’avoir,un,grand,souci,de,la,sécurité,votre,horaire,se,greffe,sur,une,exploitation,h,sur,et,jours,sur,et,il,n’y,pa,deux,journées,pareilles,voici,à,quoi,vous,pouvez,vous,attendre,au,cn,un,emploi,rempli,de,nouveaux,défis,un,milieu,de,travail,axé,sur,la,sécurité,une,formation,rémunérée,et,le,soutien,de,collègues,partageant,votre,passion,pour,le,mouvement,nous,offrons,de,carrières,valorisantes,car,notre,travail,fait,une,différence,embarquez,avec,nous!,le,chef,de,train,font,partie,d’équipes,de,train,formées,de,deux,ou,trois,personnes,et,il,s’acquittent,de,tâches,associées,à,la,circulation,de,train,de,wagon,et,de,locomotive,dans,le,triage,et,sur,la,voie,il,coordonnent,la,formation,de,train,et,effectuent,de,travaux,au,sol,à,l’extérieur,de,la,cabine,de,la,locomotive,dans,le,triage,et,en,cours,de,route,(par,exemple,pour,la,manœuvre,de,aiguillages,le,ramassage,de,wagon,de,réparations,d’urgence,etc,),responsabilités,le,tâches,énoncées,dans,la,présente,section,sont,celles,qu’un,membre,du,personnel,doit,être,en,mesure,d’exécuter,avec,ou,sans,accommodement,pour,atteindre,le,objectifs,propres,au,poste,de,chef,de,train,veiller,au,respect,de,tous,le,ordres,de,marche,signaux,et,règlements,ferroviaires,relatifs,à,la,sécurité,et,à,l’exploitation,employer,diver,formes,de,communication,pour,transmettre,et,recevoir,de,instruction,concernant,la,circulation,et,la,mise,en,place,de,wagon,former,et,séparer,de,train,dans,le,triage,et,ramasser,et,dételer,de,wagon,en,cours,de,route,observer,interpréter,et,relayer,le,signaux,afin,d’assurer,la,sécurité,de,mouvements,de,train,et,de,locomotive,manœuvrer,de,aiguillages,pour,modifier,l’itinéraire,de,locomotive,et,de,wagon,inspecter,l’état,de,train,et,du,matériel,roulant,prendre,de,décisions,efficaces,même,dans,le,endroits,non,familiers,ou,le,situation,d’urgence,communiquer,efficacement,avec,le,centre,de,contrôle,de,la,circulation,ferroviaire,le,autres,équipes,de,train,et,le,autres,départements,de,façon,régulière,au,moyen,d’une,radio,portative,formation,le,candidats,sélectionnés,participeront,à,un,programme,de,formation,rémunéré,de,onze,semaines,(7,en,classe,à,montréal,qc,et,sur,le,terrain),le,dépenses,relative,au,transport,à,l’hébergement,et,aux,repas,pendant,la,formation,à,montréal,sont,payées,par,la,compagnie,une,fois,le,onze,semaines,de,formation,terminées,le,candidats,accompagneront,de,équipes,de,train,pour,au,moins,parcours,afin,de,parfaire,leurs,connaissances,et,leurs,aptitude,la,réussite,de,ce,programme,de,formation,compris,le,examen,écrits,et,la,formation,sur,le,terrain,(incluant,le,exigences,physiques),est,obligatoire,pour,travailler,à,titre,de,chef,condition,de,travail,et,exigences,physique,travail,selon,un,horaire,varié,et,présence,régulière,et,prévisible,compatible,avec,un,contexte,d’exploitation,continue,(comprend,le,travail,la,nuit,la,fin,de,semaine,et,le,jours,fériés,le,heures,supplémentaires,et,le,travail,loin,du,domicile,pendant,de,longues,périodes),capacité,de,pousser,tirer,soulever,et,transporter,une,charge,pesant,jusqu’à,livres,(41,kg),travail,à,l’extérieur,dans,de,condition,météorologiques,changeantes,utilisation,de,diver,dispositifs,sur,le,wagon,et,le,locomotive,comme,de,leviers,de,dételage,et,de,freins,à,main,capacité,de,monter,dans,l’échelle,d’un,wagon,en,mouvement,et,d’en,descendre,capacité,de,saisir,et,de,tenir,de,objets,tout,en,se,tenant,sur,le,côté,d’un,train,en,mouvement,capacité,de,marcher,souvent,pendant,de,longues,périodes,capacité,de,se,pencher,se,plier,s’accroupir,et,s’agenouiller,fréquemment,obligation,de,répondre,à,toutes,le,exigences,d’évaluation,de,l’aptitude,au,travail,pour,le,poste,notamment,celles,qui,sont,établies,par,l’association,de,chemins,de,fer,du,canada,comme,la,capacité,de,reconnaître,et,de,distinguer,le,couleurs,de,signaux,autres,exigences,réussite,de,examen,écrits,sur,la,sécurité,et,le,règlements,(nota,conformément,à,la,convention,collective,le,chef,de,train,doivent,se,qualifier,à,titre,de,mécaniciens,de,locomotive,pour,conserver,leur,ancienneté,et,leur,emploi,),diplôme,d’études,secondaires,ou,l’équivalent,carte,d’attestation,d’étude,du,règlement,valide,permis,de,conduire,en,règle,passeport,valide,permettant,d’entrer,aux,états-unis,et,au,canada,(à,certains,endroits),excellentes,compétences,en,communication,orale,et,écrite,atouts,formation,collégiale,ou,professionnelle,et,(ou),expérience,à,titre,de,chef,de,train,service,marchandises,expérience,de,travail,pertinente,dans,de,condition,similaires,ou,dans,un,milieu,assujetti,à,de,règles,d’exploitation,et,de,sécurité,à,propos,du,cn,en,tant,que,chef,de,file,dans,le,domaines,du,transport,et,de,la,logistique,en,amérique,du,nord,nous,somme,un,véritable,pilier,de,l’économie,fort,d’une,équipe,d’environ,cheminots,nous,avon,pour,priorité,de,faire,progresser,notre,entreprise,et,l’économie,nous,transportons,annuellement,de,marchandises,d’une,valeur,de,g,u,pour,un,large,éventail,de,secteurs,tels,le,ressources,naturelles,le,produits,manufacturés,et,le,biens,de,consommation,sur,un,réseau,de,milles,qui,couvre,le,canada,et,le,centre,de,états-unis,le,cn,est,la,seule,entreprise,canadienne,à,figurer,dans,la,catégorie,du,secteur,du,transport,et,de,l’infrastructure,du,transport,du,dow,jones,sustainability,index,(djsi),world,créé,en,l’indice,djsi,world,est,l’indice,de,référence,en,ce,qui,trait,au,développement,durable,au,cn,nous,travaillons,comme,une,équipe,axée,sur,la,sécurité,et,no,client,offrant,l’excellence,sur,le,plan,de,l’exploitation,et,de,la,chaîne,d’approvisionnement,pour,produire,de,résultats,la,forme,grammaticale,utilisée,dans,ce,document,vaut,tant,pour,le,hommes,que,pour,le,femmes,le,cn,souscrit,au,principe,de,l’équité,en,emploi,et,invite,toutes,le,personnes,qualifiées,à,présenter,leur,candidature,nous,remercions,tous,le,candidats,de,leur,intérêt,cependant,nous,ne,communiquerons,qu’avec,le,personnes,dont,la,candidature,serum,retenue,veuillez,consulter,régulièrement,vos,courriels,car,le,communication,sont,surtout,envoyées,par,courrier,électronique,day,ago,report,job",chef de train
5,late night part time chef,"job description
a&w strawberry hill are hiring a late night part time chef!
","job,description,a,w,strawberry,hill,hiring,late,night,part,time,chef!,we,looking,late,night,part,time,chef,available,monday,friday,must,(16,hours),at,a,w,committed,providing,outstanding,guest,experience,creating,unique,uplifting,environment,guest,staff,we,looking,individual,help,u,achieve,goal,top,tier,employer,best,quick,service,restaurant,canada!,we,offer,competitive,wage,continuous,opportunity,growth,increase,meal,benefit,shift,food,discount,team,member,family,unlimited,drink,per,shift,benefit,looking,strive,provide,great,guest,experience,put,guest,first,self-driven,hard,working,team,oriented,strong,communication,interpersonal,skill,quick,learner,flexible,hour,ability,work,pressure,multi-task,individual,following,asset,mandatory,food,safe,certificate,(immediate,premium,raise,increase,it!),*,reliable,transportation,car,apply,indeed,posting,please,drop,resume,visit,location,due,covid,procedure,interview,process,conducted,non,physical,contact,avenue,phone,zoom,interview,**please,supply,resume,availability,within,application**,part-time,hour,per,week,job,type,part-time,permanent,salary,from,per,hour,part-time,hour,per,week,job,type,part-time,permanent,salary,from,per,hour,part-time,hour,per,week,job,type,part-time,apprenticeship,salary,from,per,hour,benefit,discounted,free,food,on-site,parking,paid,time,store,discount,schedule,hour,shift,holiday,monday,friday,night,shift,weekend,work,remotely,no,covid-19,precaution(s),remote,interview,process,personal,protective,equipment,provided,required,plastic,shield,work,station,social,distancing,guideline,place,sanitizing,disinfecting,cleaning,procedure,place,day,ago,report,job",late night part time chef
6,wilderness chef contracts,"location: chilko lake, bc – bear camp
bear camp is a safari-style tent camp, perched along the remote and stunning chilko river. our team is passionate about creating trip-of-a-lifetime experiences for our international guests.","location,chilko,lake,bc,–,bear,camp,bear,camp,safari-style,tent,camp,perched,along,remote,stunning,chilko,river,our,team,passionate,creating,trip-of-a-lifetime,experience,international,guest,our,open,kitchen,welcome,chef,positive-natured,clean,organized,looking,spend,time,beautiful,wilderness,setting,accommodation,accommodation,meal,provided,contract,duration,there,9-day,contract,available,looking,hire,chef,contract,june,27-july,july,11-july,july,25-aug2,aug,8-aug,aug,22-aug,sept,3-8,sept,8-16,sept,16-24,sept,24-oct,duty,responsibility,include,following,-create,exceptional,meal,help,assistant,(breakfast,lunch,dinner,appetizer,dessert,snacks),-create,flexible,meal,plan,7-10,day,(to,approved,prior,trip,start),-self-manage,time,prepare,meal,food,portioning,storage,-keep,accurate,inventory,food,create,corresponding,shopping,list,-act,professionally,commercial,social,environment,-appropriate,use,company,account,vehicle,-occasional,shopping,supply,-be,prepared,frequently,changing,scenario,including,restricted,specific,diet,limited,access,new,resource,-daily,cleaning,kitchen,pantry,instrument,used,shift,for,info,property,business,http,iroamtheworld,com,adventure,bear-camp-multi-sport,contract,length,week,expected,start,date,2021-06-27,job,type,contract,salary,00-,per,day,additional,pay,bonus,pay,tip,benefit,company,event,discounted,free,food,flexible,schedule,schedule,day,shift,experience,culinary,year,(preferred),job,duty,prepare,season,cook,food,directed,meeting,dietary,requirement,required,follow,recipe,presentation,specification,operate,standard,kitchen,equipment,safely,efficiently,clean,maintain,station,practicing,good,safety,sanitation,oversee,kitchen,operation,maintain,inventory,record,food,supply,equipment,adhere,sanitation,food,production,code,additional,duty,menu,planning,recording,food,temperature,preparing,report,work,remotely,no,covid-19,precaution(s),remote,interview,process,personal,protective,equipment,provided,required,social,distancing,guideline,place,sanitizing,disinfecting,cleaning,procedure,place,day,ago,report,job",wilderness chef contracts
7,a,"the team
a-ok commissary is a one-of-a-kind boutique food hall that focuses on everyday luxury dining, including an ever-evolving menu committed to featuring some of bc’s finest farmers and food purveyors. a-ok commissary is the heart of aritzia’s iconic and innovative workplace – a place that inspires connection at all levels.","the,team,a-ok,commissary,one-of-a-kind,boutique,food,hall,focus,everyday,luxury,dining,including,ever-evolving,menu,committed,featuring,bc’s,finest,farmer,food,purveyor,a-ok,commissary,heart,aritzia’s,iconic,innovative,workplace,–,place,inspires,connection,level,we,excited,build,high-performing,team,looking,people,share,passion,unique,experience,outstanding,service,exceptional,detail,a-ok,commissary,open,day,monday,friday,the,opportunity,a,member,food,beverage,department,part,team,responsible,curating,providing,world-class,food,beverage,program,people,a,sou,chef,play,pivotal,role,leading,kitchen,brigade,produce,food,item,highest,culinary,expertise,and,valuable,contribution,business,role,opportunity,endless,–,rewarding,career,food,beverage,continued,growth,within,aritzia,the,role,a,sou,chef,support,leading,specialized,team,deliver,world-class,food,beverage,experience,support,hiring,developing,retaining,exceptional,team,committed,highest,caliber,commissary,experience,guide,team,informing,engaging,inspiring,client,superior,knowledge,menu,ingredient,supplier,support,curating,food,beverage,assortment,lead,team,consistently,efficiently,preparing,dish,highest,culinary,standard,lead,team,upholding,optimal,setup,management,kitchen,space,supply,food,item,minimizing,impact,operation,lead,team,managing,food,inventory,maximize,efficiency,minimize,food,waste,the,qualification,the,sou,chef,a,commitment,learn,apply,aritzia,value,business,people,leadership,principle,an,enthusiastic,approach,taking,new,opportunity,challenge,a,commitment,navigating,internal,operation,achieve,best,team,business,result,the,ability,collaborate,fluently,cross-functional,partner,the,skill,set,clear,objective,emphasis,accountability,striving,reach,highest,potential,the,skill,education,asset,perform,role,appetite,continuously,learn,develop,oneself,a,commitment,quality,investing,result,add,value,business,a,sense,urgency,ability,prioritize,important,work,the,perk,some,industry-leading,benefit,receive,working,aritzia,a-ok,commissary,café,-,our,in-office,world-class,bistro,café,the,set,-,our,in-house,gym,state-of-the,art,equipment,custom,class,employee,assistance,program,-,support,resource,information,available,family,aspirational,workspace,-,every,detail,considered,connect,energy,culture,amenity,-,facility,include,private,parent,room,bike,storage,room,shower,facility,complimentary,convenience,talent,mobility,program,-,from,town,no,problem,-,offer,highly,supportive,relocation,program,competitive,pay,package,-,a,commitment,performance,based,pay,increase,career,progression,product,discount,-,our,famous,product,discount,online,store,health,benefit,-,comprehensive,health,vision,dental,package,eligible,employee,extra,-,a,multitude,perk,like,dry-cleaning,hotel,restaurant,discount,self-care,promos,on-site,medical,care,health,safety,-,industry-leading,health,safety,precaution,including,on-site,screening,mask,distancing,protocol,cleaning,supply,aritzia,head,about,u,scoop,aritzia,equal,opportunity,employer,aritzia,belief,providing,inclusive,workplace,individual,opportunity,succeed,we,committed,providing,accessible,employment,practice,request,accommodation,due,disability,made,stage,recruitment,process,applicant,asked,make,accommodation,need,known,day,ago,report,job",a
8,executive chef,"the boathouse has an excellent career opportunity for individuals that have a true passion for food and an unrelenting drive to provide exceptional guest service and hospitality

","the,boathouse,excellent,career,opportunity,individual,true,passion,food,unrelenting,drive,provide,exceptional,guest,service,hospitality,executive,chef,senior,kitchen,manager,–,white,rock,bc,essential,duty,responsibility,ensures,excellence,guest,satisfaction,commitment,""do,whatever,it,take,attitude"",hands-on,lead,example,management,style,management,back,house,staff,high,volume,kitchen,including,ongoing,training,development,follow,achieve,exceed,budgeted,labor,cost,center,proper,planning,execution,oversee,weekly,monthly,inventory,ordering,food,supply,maintain,sanitation,procedure,organization,work,area,adhering,osha,regulation,requirement,at,least,year,culinary,management,experience,least,year,executive,chef,full-service,structured,dining,establishment,strong,knowledge,attention,detail,back,house,operation,including,staff,supervision,inventory,control,food,labor,cost,product,quality,strong,communication,leadership,conflict,resolution,skill,stable,progressive,work,history,strong,work,ethic,benefit,extensive,well-rounded,training,program,continued,career,development,growth,opportunity,discount,dining,retail,program,management,referral,bonus,program,multiple,benefit,plan,suit,need,eoe,city,white,rock,state,british,columbia,auto,req,id,59047br,landry,inc,day,ago,report,job",executive chef
9,head chef,"role brief
coho collective inc.’s mission is to nurture dreams, supercharge small businesses, and innovate in the food and beverage industry.","role,brief,coho,collective,inc,’s,mission,nurture,dream,supercharge,small,business,innovate,food,beverage,industry,further,coho,collective,inc,plan,build,grow,innovative,restaurant,retail,concept,connect,producer,buyer,increase,market,opportunity,drive,revenue,growth,*,we,looking,hire,head,chef,help,open,build,new,restaurant,brand,gibsons’,community,the,successful,candidate,work,coho,leadership,launch,coho’s,first,restaurant,bar,this,role,ensure,efficient,high-quality,foodservice,operation,support,restaurant,business,objective,most,importantly,individual,represent,coho,brand,sunshine,coast,exemplifying,value,integrating,operation,community,the,coho,business,growing,fast,we,looking,thoughtful,empathetic,leader,deliver,high,level,contribute,organization’s,larger,mission,strategy,please,note,due,organization’s,growing,mission,specific,role,may,change,time,we,looking,candidate,within,b,c,time,thank,responsibility,work,coho,leadership,team,lan,menu,set,price,making,adjustment,needed,based,availability,ingredient,taking,special,account,helping,tell,story,commissary,member,producer,gibson,sunshine,coast,direct,kitchen,operation,including,food,preparation,cooking,cleanup,display,exceptional,leadership,providing,positive,work,environment,counselling,team,member,appropriate,demonstrating,dedicated,professional,management,approach,he,she,advocate,sound,financial,business,decision-making,demonstrate,honesty,integrity,lead,example,be,fully,charge,hiring,managing,training,kitchen,staff,maintain,control,kitchen,ensure,task,carried,efficiently,effectively,resolve,issue,arise,guest,continue,receive,order,promptly,ensure,kitchen,wait,staff,adhere,food,safety,hygiene,regulation,ensure,clean,sanitary,kitchen,inspect,raw,cooked,food,item,guarantee,highest,quality,product,prepared,served,guest,collaborate,restaurant,manager,coho,leadership,align,kitchen,operation,overarching,goal,establishment,collaborate,commissary,management,member,offer,consultation,support,service,required,requirement,associate,degree,culinary,art,preferred,5+,year,experience,back-of-house,management,position,significant,experience,chef,addition,experience,sou,chef,line,cook,up-to-date,culinary,trend,optimized,kitchen,process,able,demonstrate,excellent,written,verbal,communication,english,strong,attention,detail,in-depth,menu,costing,knowledge,ability,oversee,manage,kitchen,operation,ability,remain,productive,pulled,different,direction,extensive,food,beverage,knowledge,support,food,startup,access,connection,advice,support,experience,technology,excel,microsoft,word,crm,google,suite,strong,leadership,team,member,management,experience,motivational,people,skill,available,work,on-call,shift,hour,weekend,public,holiday,license,ability,travel,coho,location,food,safe,level,serving,right,*,expected,start,date,2021-06-01,job,type,full-time,salary,00-,per,year,benefit,dental,care,extended,health,care,paid,time,stock,option,experience,culinary,year,(preferred),chef,year,(preferred),sou,chef,year,(preferred),work,remotely,no,covid-19,precaution(s),personal,protective,equipment,provided,required,social,distancing,guideline,place,sanitizing,disinfecting,cleaning,procedure,place,day,ago,report,job",head chef
